,N,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset
70,250,BRreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
71,251,BSun,F,M,,21,,,regen,Luke,FALSE,M,?,6.3,phaw_2
72,252,BSreg,F,M,R,21,,,regen,Luke,FALSE,MR,?,6.3,phaw_2
73,253,BTun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2
74,254,BTreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
75,255,BUun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2
76,256,BUreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2
77,257,BVun,F,M,,22,,,regen,Luke,FALSE,M,?,6.9,phaw_2
78,258,BVreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.9,phaw_2
79,259,BWun,F,M,,22,,,regen,Luke,FALSE,M,?,6.2,phaw_2
80,260,BWreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.2,phaw_2
81,261,BXun,F,M,,22,,,regen,Luke,FALSE,M,?,6.5,phaw_2
82,262,BXreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.5,phaw_2
83,263,BYun,F,O,,22,,,regen,Luke,FALSE,O,?,7.5,phaw_2
84,264,BYreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.5,phaw_2
85,265,BZun,F,M,,23,,,regen,Luke,FALSE,M,?,6.3,phaw_2
86,266,BZreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.3,phaw_2
87,267,CAun,F,O,,23,,,regen,Luke,FALSE,O,?,7.6,phaw_2
88,268,CAreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.6,phaw_2
89,269,CBun,F,O,,23,,,regen,Luke,FALSE,O,?,7.1,phaw_2
90,270,CBreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.1,phaw_2
91,271,CCun,F,M,,23,,,regen,Luke,FALSE,M,?,6.2,phaw_2
92,272,CCreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.2,phaw_2
