"","X","sample","sex","age","reg","ctg","size","moult","exp","prep","flag","type","qual","length","codeset","cohdate","regentime","wkage","key","over0reads","over10reads","predage"
"170",170,"AG","F","O","",15,"P",NA,"Size-age","Luke",FALSE,"O","?",8.2,"phaw_2",NA,NA,NA,"AG 15",61,60,61.1593380948333
"171",171,"AH","F","O","",15,"P",NA,"Size-age","Luke",FALSE,"O","?",7.4,"phaw_2",NA,NA,NA,"AH 15",61,60,45.8412428777465
"172",172,"AI","F","O","",15,"P",NA,"Size-age","Luke",FALSE,"O","?",7.4,"phaw_2",NA,NA,NA,"AI 15",61,60,45.8412428777465
"173",173,"Sreg","F","M","R",15,"P",NA,"regen","Luke",FALSE,"MR","?",6.1,"phaw_2",NA,7,NA,"Sreg 15",51,47,30.4109031807714
"174",174,"Sun","F","M","",15,"P",NA,"regen","Luke",FALSE,"M","?",6.1,"phaw_2",NA,NA,NA,"Sun 15",59,56,30.4109031807714
"175",175,"Treg","F","Y","R",15,"P",NA,"regen","Luke",FALSE,"YR","?",5.3,"phaw_2",NA,7,NA,"Treg 15",59,59,24.3629261398457
"176",176,"Tun","F","Y","",15,"P",NA,"regen","Luke",FALSE,"Y","?",5.3,"phaw_2",NA,NA,NA,"Tun 15",59,59,24.3629261398457
"177",177,"PAreg","F","O","R-A",15,"I",NA,"regen-long","Luke",FALSE,"OR-A","?",7.5,"phaw_2",NA,13,NA,"PAreg 15",23,23,47.4656298742701
"178",178,"PAun","F","O","",15,"I",NA,"regen-long","Luke",FALSE,"O","?",7.5,"phaw_2",NA,NA,NA,"PAun 15",7,7,47.4656298742701
"179",179,"PBreg","F","O","R-A",15,"I",NA,"regen-long","Luke",FALSE,"OR-A","?",7.5,"phaw_2",NA,13,NA,"PBreg 15",25,25,47.4656298742701
"180",180,"PBun","F","O","",15,"I",NA,"regen-long","Luke",FALSE,"O","?",7.5,"phaw_2",NA,NA,NA,"PBun 15",7,7,47.4656298742701
